25,33
0.0,0.0
1.0,0.0
0.0,1.0
1.0,1.0
0.789365430309546,0.5044149769152825
0.7701377825942105,1.0
0.7644359079473462,0.0
0.32214255854806517,0.7977501659123745
1.0,0.553537881459649
0.3142238560032563,1.0
0.3162589555576917,0.0
0.8624963665307277,0.8206116276304319
0.09005029845378347,0.22299953429234995
0.08510344659933304,1.0
0.8634417327633775,0.25391684903921036
0.5513355016966894,0.2506330750519119
0.8581258402198071,1.0
0.0843206376541057,0.0
0.8563940888361862,0.0
0.5557184659296938,1.0
0.7255703968850902,0.7411451899334447
0.5536638715173277,0.6487205884053017
0.8652731504391084,0.5221177105908836
0.555493078397977,0.0
0.26364936039661024,0.38347657944382973
19,7,21
12,13,2
12,2,0
7,24,21
13,24,7
12,24,13
20,19,21
9,13,7
19,9,7
17,12,0
8,14,1
14,8,22
20,5,19
10,24,12
17,10,12
14,18,1
18,14,6
6,15,23
24,15,21
15,10,23
10,15,24
11,8,3
8,11,22
11,5,20
14,4,6
4,15,6
4,14,22
11,4,22
4,11,20
4,20,21
15,4,21
16,11,3
11,16,5
