30,42
0.0,0.0
1.0,0.0
0.0,1.0
1.0,1.0
0.7894595941594377,0.5036717087221542
0.7701373981595998,1.0
0.7644358132179637,0.0
0.32217334511914514,0.7974516402596797
1.0,0.5535368298861933
0.314222790516323,1.0
0.3162594068083844,0.0
0.8624961318433697,0.8206112142731983
0.09005460803196957,0.2229054512920009
0.08510373149112414,1.0
0.8633585454315662,0.25290722530842635
0.5513491440491454,0.2502282391770334
0.8581257344469969,1.0
0.08432058937912593,0.0
0.8563938329155529,0.0
0.5557185592316775,1.0
0.7256389839505729,0.7404501843552214
0.5536703495916491,0.6485365468408523
0.8653091366043401,0.5216361778659832
0.555493049442345,0.0
0.2636970056126203,0.38320081058704974
0.360540954177887,0.33843288730229204
0.7977450423081491,0.7976129112987006
1.0,0.7993795262990768
0.2334872796978877,0.08156484056821808
0.2372126242253728,0.7578867366274022
29,13,2
12,2,0
12,29,2
17,12,0
12,24,29
9,13,29
8,14,1
14,8,22
7,9,29
7,25,21
24,7,29
7,24,25
20,19,21
19,20,5
19,7,21
7,19,9
14,18,1
18,14,6
6,15,23
25,15,21
15,10,23
10,15,25
24,28,25
28,10,25
28,24,12
10,28,17
17,28,12
11,27,3
16,11,3
27,11,8
8,11,22
14,4,6
4,15,6
4,14,22
4,20,21
15,4,21
26,16,5
26,11,16
20,26,5
4,26,20
11,26,22
26,4,22
