21,26
0.0,0.0
1.0,0.0
0.0,1.0
1.0,1.0
0.7891464950451335,0.5040405225677582
0.7701376951258831,1.0
0.7644351010246266,0.0
0.3221287143628569,0.7975498974595518
1.0,0.5535364139795368
0.31422309134950266,1.0
0.31625865377339607,0.0
0.8624963780551792,0.8206109139846897
0.09005447127841881,0.22296346501098696
0.08510358473607307,1.0
0.8634458793236455,0.25496516956416254
0.5513640380756339,0.250593545487455
0.8581257944476866,1.0
0.0843206347162695,0.0
0.8563935679885729,0.0
0.555718658266222,1.0
0.7257806085516544,0.7410487338167064
12,2,0
17,12,0
17,10,12
19,7,15
7,10,15
10,7,12
6,4,15
10,6,15
12,13,2
7,13,12
6,14,4
8,14,1
14,8,4
20,5,19
20,19,15
4,20,15
9,7,19
9,13,7
14,18,1
18,14,6
20,11,5
11,8,3
8,11,4
11,20,4
16,11,3
11,16,5
