40,58
0.0,0.0
1.0,0.0
0.0,1.0
1.0,1.0
0.7891259972831514,0.503785388336525
0.7701375542285825,1.0
0.764436859811884,0.0
0.3221336613067943,0.7974373798361525
1.0,0.5535369424797322
0.3142234952048093,1.0
0.316259441517379,0.0
0.8624963473567119,0.820611022255146
0.09005643778401495,0.2229334540592072
0.0851037476662289,1.0
0.8634592264912195,0.25491035071203705
0.5513725814328269,0.25048623771564515
0.858125912438357,1.0
0.08432054264423076,0.0
0.8563945464866849,0.0
0.555718825517211,1.0
0.725724030297027,0.7414166546770414
0.5536814236311502,0.6486481837517617
0.8651863500746242,0.5217303256512378
0.5554930938836791,0.0
0.26369375415398444,0.38245192868165545
0.3605103601687918,0.3380396567373458
0.7978061142312117,0.7977274831848047
1.0,0.7993794749230231
0.23348686450052614,0.08157617799584965
0.23713932042292207,0.7568630565499342
0.08369246884872009,0.9141908181680835
1.0,0.3230375109083465
0.24096837073199523,1.0
0.7366640389150781,0.28697271546239633
0.8029445559541751,0.2702125358863867
0.043457868115985156,0.10757934561415342
0.7203819712194988,0.5110973293645625
0.2411225864675264,0.0
0.040617921944867,1.0
0.827781643112647,0.6422047246995167
30,12,29
12,30,2
19,7,21
7,25,21
20,19,21
30,38,2
35,2,0
35,12,2
17,35,0
35,17,12
12,24,29
24,7,29
7,24,25
31,8,22
6,33,23
20,5,19
9,7,19
31,14,1
14,31,22
27,39,8
8,39,22
33,15,23
25,15,21
15,10,23
10,15,25
11,27,3
11,39,27
32,30,29
7,32,29
9,32,7
24,28,25
28,10,25
28,24,12
17,28,12
14,18,1
34,33,6
18,34,6
34,18,14
34,14,22
39,4,22
4,34,22
34,4,33
16,11,3
26,5,20
39,26,20
11,26,39
26,16,5
16,26,11
13,38,30
32,13,30
37,28,17
28,37,10
36,39,20
36,4,39
36,20,21
4,36,33
15,36,21
36,15,33
