18,26
0.6112627810986527,0.8884404443887104
0.6813428169643763,0.6350890840588138
0.801073562349397,0.517812811417968
0.34483119738274104,0.7150057461294114
0.6621508230364574,0.6829723680495459
0.4943535351521623,0.7764156867385452
0.6694653626567344,0.6310287508666609
0.7401636499337668,0.4086746531861666
0.2452654023961528,0.37874999890411976
0.777397054295544,0.5635563503721145
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.4107897042679446,1.0
0.9752620075495251,0.0
1.0,0.8143166817553453
1.0,0.7585499478140372
3,8,6
8,11,10
8,3,11
15,8,10
5,3,6
4,5,6
5,4,0
1,4,6
14,5,0
14,0,13
3,14,11
5,14,3
17,2,12
16,4,17
4,16,0
0,16,13
9,2,17
4,9,17
9,4,1
9,1,6
7,15,12
2,7,12
15,7,8
8,7,6
7,9,6
9,7,2
