18,26
0.1578387621559525,0.3344397846303252
0.31609597314230015,0.5936726641455236
0.27899012169922033,0.2469507943030691
0.4305533781280503,0.17912949646974755
0.49289560222608964,0.8690217809857591
0.2226741468899639,0.7031604083468804
0.32820579646320464,0.297054540787939
0.301062034814951,0.3853319830783971
0.18248257164261697,0.7920678114597325
0.7033547317051551,0.12212582126107625
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.6787020051118953,1.0
0.8823864104623177,1.0
0.0,0.2240095830998441
1.0,0.30468049267650166
17,4,1
4,5,1
5,4,8
8,4,11
9,17,1
17,9,12
12,9,10
5,0,1
15,17,13
15,4,17
2,3,6
3,2,10
9,3,10
7,2,6
7,0,2
0,7,1
7,9,1
3,7,6
7,3,9
16,5,8
16,0,5
16,8,11
2,16,10
0,16,2
4,14,11
15,14,4
