18,26
0.6644819577012823,0.4126203699670863
0.705614312437869,0.3515446209109768
0.19003227305285303,0.43416656781722407
0.3286095389041045,0.18423889933210083
0.5898293332164523,0.6987789900897945
0.5436436229018454,0.120619931032968
0.4873139000021832,0.5543673655526026
0.36581338212403935,0.45385554166062037
0.5058569843493582,0.7153168411728004
0.5771317183223489,0.7108970897139114
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.09399769112596701,1.0
0.7136149835308068,0.0
0.0,0.43461842487848223
1.0,0.7970972260803489
15,5,10
3,16,10
5,3,10
14,8,13
16,14,11
17,1,12
1,15,12
15,1,5
3,2,16
2,14,16
14,2,8
4,8,6
7,3,5
7,2,3
8,7,6
2,7,8
0,1,17
4,0,17
0,4,6
7,0,6
1,0,5
0,7,5
9,17,13
9,4,17
8,9,13
4,9,8
