18,26
0.2781490120356551,0.3218490057676344
0.8965192997198151,0.20406480827124548
0.8640627896160101,0.2549680405191184
0.7211127866332742,0.8049295334273568
0.12140949199504547,0.3853268579987824
0.531893757871646,0.271157978429291
0.7752090514990648,0.6028364001935074
0.15572525469765452,0.31806441805097596
0.5782499622796738,0.7752282259423252
0.14424471155193813,0.8391107938076376
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.1214833752568667,1.0
0.16433450922934278,1.0
0.0,0.22824144159534276
1.0,0.4906814542455047
12,5,10
4,9,11
16,4,11
0,9,4
5,0,10
8,0,5
0,8,9
8,15,9
9,14,11
15,14,9
16,7,4
7,0,4
7,16,10
0,7,10
1,5,12
1,2,5
17,1,12
2,1,17
6,8,5
2,6,5
6,2,17
6,17,13
3,6,13
6,3,8
15,3,13
8,3,15
