18,26
0.41714348591820505,0.5723280214324475
0.13140341935367703,0.3349945864087229
0.5955500499837615,0.3969442560513746
0.8958652015523705,0.2632396133897412
0.580040908558068,0.41426015220292844
0.5924297795772911,0.37912461159558863
0.1635542616171625,0.24684200044398594
0.513038470872745,0.5514137017363242
0.3595414221269968,0.10442371364670447
0.5365508320351398,0.3871903047119467
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.14536489517889728,0.0
0.42284046805474385,1.0
1.0,0.11100481291613074
1.0,0.7513455242869889
15,0,7
15,17,13
17,15,7
0,15,11
8,14,12
3,8,12
1,11,10
1,0,11
16,3,12
3,16,17
2,3,17
6,14,8
14,6,10
6,1,10
4,17,7
4,2,17
3,5,8
2,5,3
4,5,2
9,6,8
5,9,8
9,5,4
1,9,0
6,9,1
0,9,7
9,4,7
