18,26
0.43978440232643456,0.22293932505695713
0.5760817969714951,0.7098924796558396
0.38254555251192546,0.4765197353173829
0.7650394429010678,0.2414064422291311
0.17405032463624998,0.1873305272070872
0.6279812457622531,0.7150104141806854
0.2575858962308198,0.5236154357266639
0.7890397414045571,0.2798983702991687
0.5917475341988377,0.11590074682028516
0.5832914750229653,0.854935569230481
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.8990602234985313,1.0
0.10008691698900041,1.0
1.0,0.6670708414087798
0.0,0.7629424917777818
17,15,11
4,0,2
4,17,10
6,15,17
6,4,2
4,6,17
6,9,15
0,7,2
16,7,12
14,16,13
9,14,15
5,7,16
14,5,16
5,14,9
7,5,2
12,8,10
8,4,10
4,8,0
1,6,2
5,1,2
1,9,6
1,5,9
3,7,0
8,3,0
7,3,12
3,8,12
