18,26
0.6425838816536612,0.6493039995489202
0.7936624638309903,0.6376140268843515
0.5451296244886589,0.30692768068766996
0.36618911299933277,0.4306441338331458
0.44012750330194184,0.13422165442057904
0.20592723453650486,0.4084002015034427
0.5500693351712255,0.5294756798331701
0.482143177277067,0.8960363363717375
0.7839816145481691,0.32770103927736105
0.5366930139678153,0.7165107630457159
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.05690547474346086,1.0
0.7894964086007761,1.0
1.0,0.595322737627067
1.0,0.272787768847116
12,4,10
4,5,10
5,11,10
5,14,11
14,5,7
2,8,6
8,4,12
8,2,4
3,5,4
2,3,4
3,2,6
0,9,6
9,3,6
5,9,7
3,9,5
15,14,7
9,15,7
15,9,0
1,0,6
8,1,6
1,8,16
1,15,0
15,1,13
1,16,13
17,8,12
8,17,16
