18,26
0.8291170793761524,0.2729693736461514
0.623349756586588,0.686260908667582
0.8117684284588662,0.12693240189241684
0.5774598460545387,0.5477593848898353
0.7066021925010771,0.8668108392243301
0.8730531704287057,0.19682662099945888
0.5827120319506597,0.34011028992243003
0.519798270936035,0.5080133957934455
0.41513011633527974,0.48062246246148355
0.3862339660486841,0.7892722068557323
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.8554913270492477,1.0
0.49913096570199833,0.0
1.0,0.9174445388963464
1.0,0.18372544076099695
15,8,10
9,8,7
8,11,10
8,9,11
2,15,12
8,6,7
6,8,15
2,6,15
6,2,0
5,17,0
2,5,0
17,5,12
5,2,12
6,3,7
3,9,7
3,1,9
3,6,0
1,3,0
1,4,9
9,4,11
4,14,11
16,1,0
17,16,0
16,4,1
14,16,13
4,16,14
