18,26
0.5833125812612927,0.8179948718099527
0.33149152454211805,0.22651464280311037
0.27557458005034463,0.22527239978915814
0.5595759168300874,0.8646135497763434
0.7540632465406227,0.2279374982532464
0.5128125424303869,0.7797325720450935
0.7995967838412928,0.3188726713758564
0.7568190035856737,0.5386731264761323
0.5391212999722982,0.26632016350518883
0.5074830762541461,0.49773175536283876
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.8990627726622908,0.0
0.2895298140444591,0.0
1.0,0.025371001946239646
0.0,0.05292869177372195
15,17,10
3,13,11
7,5,9
9,5,11
5,3,11
14,8,15
6,7,9
8,6,9
7,6,13
15,2,17
2,9,11
17,2,11
5,0,3
0,5,7
3,0,13
0,7,13
14,4,8
4,6,8
16,14,12
6,16,13
16,4,14
4,16,6
8,1,15
1,2,15
1,8,9
2,1,9
