18,26
0.6576744635526246,0.14180947890598805
0.11973471508317851,0.8426301599194973
0.12362299199092926,0.3523917044529964
0.6816120067704375,0.15860183666397312
0.8329202472804683,0.4936618141207715
0.325508135237733,0.6925794431846974
0.185346593346402,0.6677815989968929
0.42988806031665294,0.3441136124501777
0.11274682047425255,0.1670254442025601
0.2034188138258701,0.1551473525967988
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.8401430872001353,1.0
0.9288198145335131,0.0
0.0,0.1479397513037478
0.0,0.965081082149849
2,9,7
13,4,12
4,5,7
3,4,7
14,4,13
4,14,5
14,1,5
1,14,11
8,9,2
16,8,2
9,8,10
8,16,10
17,1,11
17,16,2
1,6,5
6,2,7
5,6,7
6,17,2
17,6,1
4,15,12
3,15,4
9,0,7
0,3,7
0,9,10
15,0,10
0,15,3
