41,64
0.7167729726093156,0.48632573569192517
0.79520890376283,0.15391755179858652
0.8967065313645457,0.37140516952950264
0.24447784006840242,0.5681019088243059
0.7328555848835332,0.7562697847361831
0.8139399234285501,0.2859164881763764
0.10640677851199012,0.6548087660036621
0.6991773029911352,0.4496291799214641
0.7727505038145542,0.27878479399245404
0.7236027204207022,0.465341565631612
0.32886593511997997,0.46017500825279833
0.4781927507626712,0.7026116269834157
0.7356813937978046,0.10499589223891369
0.20953174238967592,0.29591591616848395
0.38888548381704724,0.29713800975198434
0.31560384893401616,0.318989978520911
0.1767155360368074,0.7735842733419743
0.3071408483254159,0.8793058462529656
0.3363458861894326,0.13159765800781412
0.5937047780186205,0.7227815367067038
0.3491772789802998,0.27276919033345803
0.46678767283375566,0.8037221624367737
0.6924438595675028,0.7561886052040139
0.28522674575474305,0.413913795230325
0.1154536883304374,0.7149845858681654
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.7228615848012514,1.0
0.8968698906431609,1.0
0.023009788701313427,1.0
0.6490547011530988,0.0
0.5011519936320344,1.0
0.7648239691041534,0.0
1.0,0.2232698352957624
1.0,0.24565449292552965
1.0,0.3763692971503132
1.0,0.07215608469978263
1.0,0.48422332532123935
0.0,0.15347921228677996
18,40,25
32,18,25
4,39,28
18,13,40
38,34,27
34,38,1
2,39,9
14,18,32
39,0,9
4,0,39
13,6,40
40,6,26
34,12,32
12,34,1
12,14,32
8,12,1
12,8,14
2,37,39
38,35,1
20,13,18
14,20,18
30,4,28
30,29,4
17,21,33
31,17,33
17,31,16
22,29,33
21,22,33
29,22,4
22,0,4
3,23,10
23,3,13
3,6,13
6,24,26
24,31,26
31,24,16
24,3,16
3,24,6
7,8,9
8,7,14
0,7,9
14,7,10
5,2,9
8,5,9
5,8,1
35,5,1
15,23,13
20,15,13
15,20,14
15,14,10
23,15,10
7,11,10
11,7,0
11,3,10
3,11,16
11,17,16
17,11,21
5,36,2
36,5,35
36,37,2
19,22,21
11,19,21
22,19,0
19,11,0
