41,64
0.16357224741355186,0.5455593491916167
0.497125383011796,0.5096218743010571
0.679400819025884,0.222901586015127
0.6945451287121694,0.15666655102983304
0.3138123857261621,0.22619437128260333
0.22715200476354058,0.6434434211835277
0.8916624743827494,0.15334726980077307
0.37662454025101744,0.8579943876853516
0.5175563013105154,0.7159175978743159
0.4012384769819758,0.13609873262656544
0.617134291826737,0.1832346696622744
0.2938397755402023,0.13742356588414603
0.2515984728234274,0.14070358680223274
0.544201297355628,0.27799996203878524
0.6505689268462524,0.7862531769095309
0.8782728945989192,0.8498106878118342
0.2929495626377186,0.3634852003390957
0.44002296841807753,0.4094758420990797
0.345141574593132,0.3491774023126636
0.7991268466580692,0.5711228547512864
0.3200993570891161,0.3127171452423719
0.24173675127497757,0.8330337506162436
0.1317096816779486,0.8236564319348533
0.5699128093792675,0.1474143623782907
0.4069577807335397,0.6201478854167607
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.4075451041002016,1.0
0.06419683078325544,0.0
0.6294913553574166,0.0
0.6684603528046424,0.0
0.05431068688537577,0.0
0.645258757003944,0.0
0.0,0.6635817946532387
0.0,0.181059717454506
0.0,0.40316295387802037
0.0,0.6477456768168858
1.0,0.3261966548983024
0.0,0.8490380906793559
33,36,25
21,29,26
19,8,1
19,2,39
8,24,1
24,21,5
13,19,1
19,13,2
0,24,5
21,7,29
7,24,8
24,7,21
29,15,28
15,39,28
15,19,39
36,16,37
16,0,37
0,16,24
13,10,2
10,3,2
0,38,37
35,38,5
38,0,5
40,22,26
22,21,26
22,40,35
22,35,5
21,22,5
19,14,8
15,14,19
14,15,29
7,14,29
14,7,8
24,17,1
16,17,24
17,13,1
33,30,36
6,32,27
32,6,3
39,6,27
2,6,39
3,6,2
34,3,31
34,32,3
4,9,13
9,4,11
9,30,31
30,9,11
30,12,36
12,30,11
4,12,11
12,16,36
12,4,16
17,18,13
18,17,16
23,10,13
9,23,13
23,9,31
3,23,31
10,23,3
20,4,13
18,20,13
4,20,16
20,18,16
