41,64
0.3814775776093109,0.12061485673404766
0.12976517780278762,0.33777956780208324
0.7153073685328505,0.859458599914974
0.6227921676531443,0.8398423038253283
0.849941784357055,0.5476124905132456
0.5585331976567213,0.173948969601617
0.49878534558643106,0.23211453264596615
0.74216645087184,0.1132306527349618
0.4979896181493596,0.4145360045990737
0.21116302079927857,0.5632835333399289
0.5445737128981993,0.15351346420995782
0.5250416732653306,0.24557809455296076
0.7974676769040031,0.29568269046214535
0.751661228891073,0.7828568868167771
0.2613412349528693,0.22257634218688366
0.1907689806882006,0.5457342967744732
0.49915172215908543,0.43285848845589925
0.3208593903109125,0.49814893915271197
0.6418596124141475,0.5251530765527799
0.8681245741002789,0.5243328327113311
0.14421156024123177,0.46322114585007435
0.579319323631309,0.7434834954196965
0.41760175935434307,0.8050731091059636
0.600922367605118,0.6185687880818268
0.7458542888435368,0.26316463101609716
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.5753924391987753,1.0
0.4101911580317763,0.0
0.08104446293674494,0.0
0.3902563963340422,1.0
0.7562440662003397,1.0
0.3891730501420124,0.0
1.0,0.007006533543051141
1.0,0.5869269226967984
0.0,0.8523012450514932
1.0,0.4899865273132866
0.0,0.300199223271147
1.0,0.838860325935047
37,39,20
31,39,25
39,1,20
12,35,38
1,17,20
32,22,29
37,32,26
22,32,37
31,14,39
14,1,39
14,17,1
9,22,37
9,17,22
22,3,29
33,40,28
19,12,38
10,0,30
0,14,31
24,11,5
12,7,35
24,7,12
35,7,27
10,7,5
7,24,5
7,30,27
7,10,30
15,37,20
15,9,37
17,15,20
9,15,17
21,3,22
3,21,13
40,2,13
33,2,40
2,3,13
2,33,29
3,2,29
36,19,38
36,40,13
19,18,12
18,24,12
0,34,30
34,0,31
8,11,24
8,18,16
18,8,24
17,8,16
14,8,17
6,0,10
6,10,5
11,6,5
0,6,14
6,8,14
8,6,11
4,36,13
36,4,19
4,18,19
21,23,13
23,4,13
4,23,18
18,23,16
23,17,16
17,23,22
23,21,22
