41,64
0.13489586474897353,0.3714359222830621
0.3395015078181014,0.5780904377836641
0.8788011152803917,0.6794282265035281
0.27230137179148733,0.7482525266920357
0.4016311594168108,0.7579307740981851
0.25643029959097624,0.18774121680292222
0.6566225555991883,0.24291934026142314
0.11108349594184164,0.817314563729472
0.6414926366663021,0.6774772879965512
0.6184158419720367,0.6912867435129348
0.8153662298018315,0.8781879483945704
0.7233175348066847,0.1086729207824174
0.6717164448033868,0.18338766751987212
0.8686794055616808,0.3463071422734476
0.35312623849387326,0.2604383490283716
0.7945942592004855,0.3374820208125304
0.11505652268414544,0.3950239905765658
0.21630075079722097,0.8645959315148116
0.3573535333921103,0.6667494778448828
0.757271698870832,0.7533045371263394
0.6906000791595674,0.41071287050090366
0.2738447346751823,0.6069117496025839
0.3009954471353481,0.15422751208834642
0.27191486392052455,0.36962083823679515
0.23274259692025892,0.32618153199032973
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.32257009441599216,0.0
0.4077853807147028,0.0
0.23137488786872695,0.0
0.898651319569073,1.0
0.1398809740986644,0.0
0.4400777614418062,0.0
0.0,0.3866237152078057
1.0,0.06359318738414499
1.0,0.4433498008919392
0.0,0.1610403848938854
0.0,0.7848759127429767
0.0,0.2542526368405398
11,34,27
39,7,26
7,17,26
21,7,39
36,37,13
36,11,27
11,36,13
37,2,13
2,37,28
16,39,35
16,21,39
18,21,1
9,18,1
18,9,4
7,3,17
3,7,21
18,3,21
17,3,4
3,18,4
11,12,34
12,14,34
14,22,34
10,2,28
9,10,4
10,17,4
16,23,21
21,23,1
23,14,1
14,23,24
15,11,13
15,12,11
33,38,25
2,19,8
10,19,2
19,9,8
19,10,9
32,10,28
10,32,17
17,32,26
40,0,35
0,16,35
0,40,24
23,0,24
0,23,16
2,20,13
20,15,13
20,2,8
20,9,1
9,20,8
14,20,1
33,5,38
5,40,38
40,5,24
5,14,24
5,22,14
15,6,12
20,6,15
12,6,14
6,20,14
22,30,34
29,30,22
31,29,22
5,31,22
31,5,33
