42,66
0.8036252640904079,0.6699740403357555
0.15632603354707159,0.6635465919317488
0.5749263358660087,0.3434586294398392
0.8659727256686135,0.8401466185684588
0.33078168795369567,0.8584574480840889
0.7432263837823895,0.8048559359190584
0.13195178528745607,0.2220031316420366
0.5289684279190653,0.12456986393702262
0.7944529041659951,0.1467842366870162
0.7104627682745753,0.2642261452060482
0.4514404984542123,0.1378484236684547
0.7210817509206299,0.8372493928448939
0.6075853337673618,0.7779256617122827
0.16420086674842793,0.46741464488821893
0.5443946074698026,0.43447223999326645
0.239573308288007,0.5553288056493509
0.1811390145465623,0.16444918238810172
0.7633009257479887,0.6230049156780135
0.5196570465502963,0.23587015107091755
0.7621851392863812,0.8305372738387501
0.8797163398178228,0.32338563880007876
0.38638576607922115,0.6156850013342662
0.2270401848396369,0.8297779119434067
0.46192349301512026,0.5327346064502051
0.32679735207837785,0.8013071334012813
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.6393258206677446,1.0
0.7846965702952874,0.0
0.032706559869483565,1.0
0.14217689033239567,0.0
0.2949402623121149,0.0
0.7706571068545969,0.0
0.0,0.5860047439684642
1.0,0.18018746223256943
1.0,0.6808379991857211
0.0,0.9291218645343909
1.0,0.06160812639868973
0.0,0.2710688217395296
0.6150599074124359,0.25004814813848286
13,1,35
10,33,7
1,38,35
15,13,23
15,1,13
40,13,35
20,36,37
8,36,20
17,20,37
17,12,23
12,17,5
22,38,1
24,22,1
21,24,1
15,21,1
21,15,23
12,21,23
21,12,24
10,16,33
34,8,7
33,34,7
39,36,8
13,18,23
18,10,7
16,18,13
18,16,10
9,8,20
17,9,20
8,9,7
0,17,37
17,0,5
3,37,28
29,3,28
19,3,29
3,0,37
3,19,5
0,3,5
12,11,29
11,12,5
11,19,29
19,11,5
4,12,29
12,4,24
4,22,24
38,31,26
22,31,38
4,31,22
31,4,29
6,40,25
16,6,25
40,6,13
6,16,13
32,16,25
16,32,33
39,30,27
34,30,8
30,39,8
18,14,23
14,18,2
14,17,23
9,14,2
14,9,17
18,2,41
9,2,41
9,7,41
18,7,41
