41,64
0.38489601052784994,0.8215320809546575
0.7303451562130409,0.37216756025465236
0.6230421376455286,0.11699750852126307
0.23021002664311432,0.4721241626967523
0.8591479201565145,0.20251558535554476
0.88747423474657,0.7350380391204601
0.4677721537139925,0.45374403760950066
0.5085835065344361,0.7623254743897183
0.8374756602038941,0.4468252516201793
0.7201477324205158,0.11849725497199551
0.2945533696135445,0.6807663669020435
0.1566312081964628,0.2739383328741701
0.5738530824033804,0.6496817761326517
0.5405976232918892,0.6078902889710316
0.1083928349201515,0.45410123148232573
0.2638300568230366,0.17397960460762407
0.89513100969043,0.5619018102343223
0.7131503993303628,0.1398973390515213
0.8940876891835888,0.17149447244445054
0.36011105484479256,0.29232686189275037
0.8882815547316237,0.5720283029118652
0.27762073197600345,0.27006646766426834
0.13422575741571743,0.8969616556990334
0.7085208869926714,0.4342350222688657
0.2539477476165244,0.417769873555766
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.8668553968551749,0.0
0.6488800671349485,1.0
0.5060267468561558,0.0
0.40610788348293314,0.0
0.47218017267365775,0.0
0.6637579997127935,0.0
1.0,0.017726633966922645
0.0,0.3792105329441816
0.0,0.5461380768358929
1.0,0.10660272149210825
0.0,0.8304575720031259
1.0,0.7464203564759175
38,40,16
34,2,31
5,40,28
30,5,28
10,39,37
32,15,25
23,13,6
13,23,12
13,10,6
23,20,12
20,5,12
40,20,16
5,20,40
39,22,26
10,22,39
22,30,26
21,11,15
11,36,25
15,11,25
19,2,6
19,21,15
32,19,15
35,29,27
29,35,38
4,1,17
1,2,17
2,1,6
1,23,6
22,0,30
0,22,10
3,10,37
10,3,6
33,19,32
2,33,31
19,33,2
29,9,34
2,9,17
9,2,34
9,4,17
8,1,4
8,38,16
1,8,23
20,8,16
8,20,23
13,7,10
7,0,10
7,13,12
0,7,30
7,5,30
5,7,12
36,14,37
14,3,37
11,14,36
24,11,21
19,24,21
24,14,11
14,24,3
24,19,6
3,24,6
9,18,4
18,9,29
18,29,38
8,18,38
18,8,4
