41,64
0.734985471435646,0.5050496755912862
0.5792578063411358,0.8104821511493618
0.5635563133676499,0.6264103968792123
0.6245465797944376,0.5348401214288886
0.32890759366079414,0.8379918426268053
0.7226477538401203,0.4053183197782041
0.7764881965165554,0.8439550187726196
0.7861700172411464,0.2744605089263142
0.18280712736367769,0.4386194122030046
0.30820733251772414,0.5559389644146079
0.38891614003914543,0.6416185815034159
0.5092053444647702,0.17845731920849053
0.5381984144287832,0.5758570531058504
0.16006382594234436,0.37425145815801675
0.3402175344463374,0.5408337854990295
0.7605436060021653,0.3320291509462402
0.6019768660376082,0.4676376507192499
0.791492034238202,0.20331865114006284
0.5731977954344967,0.32122979249660333
0.7640756786735868,0.8423204428968697
0.13099753438013267,0.5383916211516651
0.8264554792943971,0.6864720072128198
0.5800381025041799,0.5100556901736749
0.609172911234529,0.8285433835562189
0.4285031255685743,0.3310666926868645
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.5134200726536116,0.0
0.9764847485109935,0.0
0.940546112697036,1.0
0.38226151461065627,1.0
0.17657220528013517,0.0
0.04914643907268379,1.0
0.0,0.52951104875172
1.0,0.2215894059841409
1.0,0.6548676581401747
0.0,0.5772303941556025
0.0,0.7218515054505686
1.0,0.15086624939236204
31,37,28
39,34,26
38,35,20
39,38,20
15,5,18
15,36,37
30,17,29
13,35,25
31,6,37
6,21,37
8,13,24
35,8,20
13,8,35
2,21,23
5,16,18
24,16,22
16,24,18
0,16,5
21,0,37
0,15,37
0,5,15
40,30,27
40,17,30
17,40,36
17,11,29
11,17,18
24,11,18
7,15,18
17,7,18
7,36,15
7,17,36
21,19,23
6,19,21
19,6,31
19,31,32
23,19,32
4,39,20
34,4,32
4,34,39
2,3,21
3,0,21
3,12,22
3,2,12
16,3,22
0,3,16
11,33,29
33,13,25
13,33,24
33,11,24
1,2,23
1,23,32
4,1,32
14,8,24
14,24,22
12,14,22
1,10,2
10,1,4
2,10,12
10,14,12
10,9,14
8,9,20
14,9,8
9,4,20
9,10,4
