41,64
0.13529760431140617,0.8320137474904744
0.764185223008392,0.5379847601506913
0.8558812813646861,0.510083383461876
0.7087745921072726,0.8992275914754694
0.8820802409437914,0.2986695077953092
0.2101884410619074,0.35838126656771285
0.6139368678968014,0.3030623614541824
0.28833555895939034,0.3237839075542174
0.8366020914705665,0.5611433313060684
0.5342484419300821,0.7411008434959772
0.8561822633592521,0.171033037991187
0.47118559876520905,0.740443920636142
0.2128244113498554,0.19561385821335256
0.5387165703165463,0.3233428738423834
0.5975863719539104,0.44271319010777566
0.4081299466679785,0.13874065689033854
0.2629271785941868,0.13318999806930798
0.37949254270893307,0.5421486025444947
0.47489020910908475,0.25632446286728233
0.755008500465841,0.17940837264684806
0.7925221080897561,0.3603503560245168
0.40185755217674646,0.5291057902091547
0.1835391367534075,0.3007643013336244
0.15743590842557112,0.21627298387224175
0.6008271040937431,0.6271991659630275
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.29561631431935886,0.0
0.09869451479072056,1.0
0.5120497180916264,1.0
0.2618902764431007,0.0
0.6287021494052006,0.0
0.10982786159931113,1.0
1.0,0.8919976526625689
0.0,0.38020068115671
1.0,0.8363419981974832
0.0,0.9713662851343977
1.0,0.9002394576467172
1.0,0.22047322254201496
31,3,28
40,37,2
13,14,21
7,13,21
17,7,21
15,29,33
29,15,16
15,7,16
0,38,36
32,16,25
32,29,16
3,39,28
37,8,2
8,37,3
8,1,2
1,20,2
20,1,14
23,36,25
16,23,25
5,7,17
5,0,36
0,5,17
18,15,33
7,18,13
15,18,7
34,0,31
37,35,3
35,39,3
9,3,31
24,8,3
24,1,8
9,24,3
1,24,14
14,24,21
6,14,13
6,20,14
6,18,33
18,6,13
4,40,2
20,4,2
7,12,16
12,23,16
38,30,26
0,30,38
34,30,0
0,11,31
11,9,31
11,0,17
11,17,21
24,11,21
11,24,9
40,10,27
4,10,40
10,33,27
12,22,23
23,22,36
22,5,36
5,22,7
22,12,7
19,6,33
10,19,33
6,19,20
19,4,20
19,10,4
