41,64
0.6451903094298616,0.22241767285865582
0.12864897613158874,0.7561061898221275
0.2106429589001021,0.2599247247538006
0.7669623225796125,0.8820195895761032
0.33479990149803085,0.26001893096266493
0.3188725406311589,0.2638193678656052
0.3081859625194703,0.1023854750912645
0.7722451285100628,0.3493348688999973
0.15993053417657166,0.18341053821969056
0.5798467531717181,0.3099110630727527
0.3966406308900522,0.7524783319130204
0.7508576925774616,0.6521783056250152
0.18025746162245923,0.7403324688218887
0.24665023130718655,0.8477395695017329
0.7469187178291099,0.2906112614049825
0.793996835000677,0.7612688428632647
0.7847345840833467,0.22418828115156267
0.4316806754656246,0.6495742658873759
0.4024165207470748,0.5292459609756269
0.20212773932694256,0.8948986122334232
0.28867536146323003,0.6289819132664849
0.44182868679521314,0.660831467856319
0.6964547296894334,0.787334494261067
0.6016062965636734,0.242977810035522
0.522693608333797,0.7135532603525518
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.5590475106856849,1.0
0.7177620352020035,0.0
0.7588635796842181,1.0
0.7097939991140815,0.0
0.4206484254947481,1.0
0.2461866644071723,0.0
0.0,0.9745678615993543
0.0,0.5555390364148526
1.0,0.03414632438519061
1.0,0.014554032314105236
0.0,0.23481503018410466
1.0,0.7552853606708964
34,32,6
39,2,36
8,34,6
2,8,6
34,8,25
8,39,25
39,8,2
37,40,7
3,40,28
2,5,18
5,4,18
5,2,6
4,5,6
32,23,6
23,4,6
20,2,18
2,20,36
35,19,26
31,3,28
3,31,29
10,24,29
40,11,7
11,24,18
9,11,18
11,9,7
4,9,18
23,9,4
19,1,13
1,35,36
1,19,35
38,30,27
30,38,37
16,37,7
16,30,37
33,10,29
10,33,13
33,19,13
19,33,26
17,20,18
17,10,20
3,15,40
15,11,40
1,12,13
12,10,13
10,12,20
20,12,36
12,1,36
14,16,7
9,14,7
21,24,10
17,21,10
24,21,18
21,17,18
11,22,24
15,22,11
22,15,3
22,3,29
24,22,29
14,0,16
0,23,32
0,9,23
0,14,9
30,0,32
16,0,30
