41,64
0.4262286646418335,0.752647987971718
0.6394414017589052,0.30755102688220837
0.8893703049009457,0.19398467261165894
0.4640121565890104,0.6098012493055044
0.21755049908461058,0.1508255483985219
0.7193779449471333,0.5429280779510698
0.4270641755507023,0.5663207181127751
0.32108054024684246,0.867122647590945
0.11961196529651118,0.14105878104971722
0.6680087624694817,0.7443731922650442
0.8262947374903832,0.10563001840992783
0.8621401891707251,0.23498663292516248
0.5722730383309039,0.47116603656797185
0.37450420076666413,0.13744380210169568
0.39647155391760414,0.10456694711725519
0.5721965133791357,0.28858002940990835
0.8466978140311839,0.31110478705606043
0.8328956608746421,0.575587219836194
0.8609239745748017,0.8730554079059712
0.3132607674222146,0.18455910691052974
0.6541205863799957,0.1261939760636114
0.7348645255623051,0.2099563117906195
0.17670215957179858,0.37014658589810245
0.43180377709453077,0.1699738801859036
0.41449003516114225,0.24490285031649883
0.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
0.6995864760484212,1.0
0.7928405609298698,1.0
0.7629157747086158,1.0
0.07684919054885697,1.0
0.4422612853849224,1.0
0.8913385468942576,0.0
1.0,0.9656102807704683
1.0,0.680447391389106
0.0,0.2957049512596296
0.0,0.28296474309596364
0.0,0.8000239278319496
1.0,0.005045943845685574
14,4,25
4,19,22
34,20,14
34,14,25
8,4,22
4,8,25
32,7,33
3,6,12
35,18,36
20,23,14
15,23,20
37,38,22
38,8,22
8,38,25
0,9,33
7,0,33
0,3,9
0,7,6
3,0,6
39,7,32
39,32,26
6,39,22
7,39,6
39,37,22
30,35,28
30,18,35
23,13,14
13,4,14
13,19,4
24,23,15
13,24,19
24,13,23
19,24,22
24,6,22
6,24,12
24,15,12
40,34,27
17,16,36
18,17,36
17,18,9
9,29,33
18,29,9
1,21,16
15,1,12
1,15,20
21,1,20
40,2,34
2,40,36
16,2,36
30,31,18
31,29,18
17,5,16
5,1,16
1,5,12
5,17,9
5,3,12
3,5,9
2,10,34
34,10,20
10,21,20
21,11,16
11,2,16
10,11,21
11,10,2
