3 48 243
0 0 0
0 0 1
0 1 0
0 1 1
1 0 0
1 0 1
1 1 0
1 1 1
0.63574994020124742 0.5344874768719684 0.59928403685396903
0.85333955578294163 0.0019230607256410792 0.347180428983485
0.50949928894623553 0.78659093864583829 0.40992916503528554
0.28675257708883928 0.18071567067047334 0.79422791010508931
0.94764159884287491 0.016018760819324407 0.21896490636906729
0.74942139589707069 0.44542929913471496 0.67575287216749191
0.25401924886144167 0.50743177623692426 0.87127100705642391
0.6998475250812487 0.68875288640008336 0.27525884060991557
0.36895392989892051 0.025832164796735668 0.51080023069889735
0.97427254515528894 0.29324277695183854 0.085550884330272803
0.86034632209997419 0.30768417686133209 0.90221614300379416
0.7526658545114856 0.75129908485329111 0.54910798498954483
0.21178941808807805 0.80290854716024107 0.6521056448121757
0.64828107336538665 0.96140186130714445 0.64111909671024947
0.81367344284346166 0.091296659084978304 0.49520060445574821
0.39355233348752883 0.94372743662594361 0.1981823321839622
0.54326256460307409 0.7017609414780891 0.41513267720042579
0.65988187661726294 0.66694258437695608 0.74510477547811738
0.37418647229404745 0.08781866238723135 0.68338978347765789
0.21616727692695148 0.36344563095455351 0.5846472227315519
0.77149252430863324 0.26451810842173484 0.16684584504369504
0.68735489963035479 0.1293063200691984 0.60822661195745165
0.14477967123998936 0.82881253563158019 0.13175487769930316
0.65445855179543777 0.98284880358779814 0.50694955136550179
0.47334779984352648 0.64718599493258 0.91017220878319582
0.37341765860371967 0.19686605869076734 0.98795973492212197
0.13509197452638899 0.85969020629525816 0.91929190616747014
0.28750482674247013 0.84949121175169606 0.80691743940404037
0.86340899382911329 0.19781743376004046 0.33952447689341392
0.60297188517691258 0.17239583715130402 0.19593962846254631
0.77479569867591924 0.53415514869026004 0.9074831701538586
0.20008223540577363 0.097826746023973343 0.15674591144961403
0.047688118621542874 0.36976319428437698 0.12608397612129785
0.26282803881889227 0.15094433308772592 0.74187050984122282
0.14347965904673954 0.87064820005036436 0.30393095343575449
0.85083933007523282 0.13108701599056538 0.76627925282417086
0.36320498384390365 0.11492463629086314 0.41961323005672058
0.64415784426386169 0.38368292591496522 0.65746545057232186
0.88688061756426828 0.11166416339736329 0.32040700268961508
0.54826755167174523 0.7890746421703464 0.37353668782295635
40 27 1 0
40 27 3 1
40 17 2 0
18 17 5 7
12 17 5 4
23 31 6 2
23 15 31 6
23 31 3 2
38 18 5 7
38 25 32 7
38 13 18 7
33 32 3 7
33 38 18 5
33 38 5 7
33 38 32 7
9 12 5 4
9 16 1 0
9 16 5 1
9 16 29 5
9 12 37 4
43 9 12 5
43 33 18 5
21 31 3 7
21 35 3 7
21 35 31 3
21 35 32 7
21 25 32 7
21 25 35 32
34 32 3 7
34 35 3 7
34 35 32 7
34 33 32 3
34 27 3 1
19 31 6 7
19 15 31 6
19 21 31 7
19 21 25 7
19 38 25 7
19 38 13 7
19 38 13 25
19 13 15 8
19 13 25 8
19 17 6 7
19 15 17 6
19 18 17 7
19 13 18 7
19 13 18 17
28 15 37 8
28 15 17 6
28 40 37 0
28 40 17 0
28 12 37 4
28 12 17 4
28 17 4 0
28 37 4 0
42 40 3 2
42 23 3 2
42 35 31 3
42 23 31 3
26 33 5 1
26 16 5 1
26 16 29 5
26 43 29 5
26 43 33 5
26 43 33 29
26 44 16 29
45 43 13 29
45 43 13 18
45 43 33 29
45 43 33 18
45 26 33 29
45 38 13 18
45 33 38 18
45 33 38 32
45 26 44 29
45 38 25 32
45 38 13 25
45 28 37 8
45 44 37 8
45 44 29 37
45 44 27 8
45 26 44 27
45 25 32 8
45 13 25 8
39 9 16 0
39 9 16 37
39 44 16 37
39 9 4 0
39 37 4 0
39 9 37 4
39 40 37 0
39 44 40 37
39 40 27 0
39 44 40 27
39 27 1 0
39 16 1 0
36 13 18 17
36 43 13 18
36 18 17 5
36 43 18 5
36 28 15 17
36 19 15 17
36 19 13 17
36 19 13 15
36 13 15 8
36 28 15 8
36 45 13 8
36 45 28 8
36 45 29 37
36 45 28 37
14 33 3 1
14 34 3 1
14 34 33 3
14 34 27 1
14 34 33 32
14 45 33 32
14 34 35 32
14 45 27 8
14 45 32 8
30 17 6 2
30 28 17 6
30 23 6 2
30 40 17 2
30 28 40 17
30 23 15 6
30 28 15 6
30 42 40 2
30 42 23 2
30 15 40 37
30 28 40 37
30 28 15 37
20 34 35 3
20 42 35 3
20 34 27 3
20 40 27 3
20 42 40 3
20 42 40 27
20 14 34 27
20 14 34 35
20 14 27 8
20 42 35 31
20 14 32 8
20 14 35 32
20 21 35 31
20 42 23 31
20 25 32 8
20 25 35 32
41 14 27 1
41 26 16 1
