3 23 89
0 0 0
0 0 1
0 1 0
0 1 1
1 0 0
1 0 1
1 1 0
1 1 1
0.75432065275780558 0.61146886926931543 0.17102874437909665
0.37201837242945768 0.69352884563879735 0.41111604173755523
0.27098420857659811 0.026408456653706947 0.94880287704496413
0.11506076601913007 0.39316846511772097 0.71923747254639714
0.55702888379007154 0.79859867697750009 0.21841587786403815
0.29516390556559302 0.70060916551196584 0.5330511361160678
0.65267165026640739 0.24656186532301894 0.10029595898406796
0.96176192464952259 0.19445249720822755 0.84681285434858355
0.43110211621774652 0.30814497524987561 0.90707299983447709
0.80298791344088982 0.6687742966165714 0.1597462453784948
0.30792450254753689 0.35324749038959313 0.66528238027562914
0.21081610237496717 0.42358171995854166 0.7113596324420548
0.81383230411056429 0.80302237780092656 0.24924057917395015
0.18578328181543147 0.37569921784257632 0.34106545174823089
0.28508278268736531 0.4772695406745332 0.24213484224346304
11 16 3 1
22 12 8 9
22 12 9 2
15 16 5 7
15 16 9 7
20 12 6 7
20 15 6 7
20 12 8 9
20 15 9 7
20 15 8 9
17 8 6 2
17 12 6 2
17 12 8 2
17 20 12 6
17 20 12 8
17 15 6 4
17 20 15 6
17 15 8 4
17 20 15 8
13 16 3 7
13 16 9 7
13 11 3 2
13 12 3 7
13 12 3 2
13 12 9 2
13 22 9 2
13 20 9 7
13 20 12 7
13 20 12 9
10 11 16 1
10 16 5 1
10 15 5 4
10 15 16 5
21 11 2 0
21 22 2 0
21 13 11 2
21 13 22 2
21 11 1 0
21 10 1 0
21 10 11 1
21 13 22 9
14 10 4 0
14 21 10 0
14 21 22 0
14 10 15 4
14 8 6 2
14 22 2 0
14 15 8 4
14 17 6 4
14 17 8 4
14 17 8 6
14 12 8 2
14 22 12 2
14 22 12 8
14 22 8 9
19 21 13 11
19 11 16 3
19 13 16 3
19 13 11 3
18 10 15 16
18 14 10 15
18 14 15 8
18 14 21 10
18 15 16 9
18 15 8 9
18 14 8 9
18 14 21 22
18 14 22 9
18 10 11 16
18 19 11 16
18 21 10 11
18 19 21 11
18 21 22 9
18 13 16 9
18 19 13 16
18 21 13 9
18 19 21 13
16 5 7 1
16 3 7 1
12 3 7 2
12 6 7 2
11 3 1 2
11 1 2 0
15 5 7 4
15 6 7 4
10 1 4 0
10 5 1 4
14 2 4 0
14 6 2 4
