4 22 142
0 0 0 0
0 0 0 1
0 0 1 0
0 0 1 1
0 1 0 0
0 1 0 1
0 1 1 0
0 1 1 1
1 0 0 0
1 0 0 1
1 0 1 0
1 0 1 1
1 1 0 0
1 1 0 1
1 1 1 0
1 1 1 1
0.46062723097155001 0.35243626997915156 0.90934882942536188 0.91351748132483723
0.84176785954849209 0.59336510813533927 0.46564902172804001 0.14719601828148954
0.64848431859138411 0.49395323424660453 0.99537031145891053 0.58828687700022586
0.65627347942921743 0.090867492521774618 0.17254321482979496 0.65772562771675236
0.057730618545761336 0.98223061696008185 0.32552788329405968 0.47734508207165471
0.98907208105353139 0.064315271211684566 0.77059092149194908 0.61006073137334405
21 16 18 19 2
21 19 17 10 2
21 18 17 10 2
21 18 19 17 2
21 16 19 3 2
21 16 19 3 11
21 16 18 3 2
21 16 18 3 11
21 16 18 11 15
21 19 17 9 8
21 19 17 10 8
21 18 17 14 15
21 18 17 10 14
21 16 19 9 11
21 16 19 9 13
21 16 18 13 15
21 16 18 19 13
21 19 17 9 13
21 18 17 13 15
21 18 19 17 13
20 16 18 6 7
20 16 18 6 2
20 16 18 13 15
20 16 18 7 15
20 18 17 6 2
20 18 17 14 15
20 18 17 6 14
20 18 17 13 15
20 16 19 1 0
20 16 19 5 1
20 16 19 2 0
20 16 18 19 2
20 19 17 12 4
20 19 17 12 13
20 19 17 2 0
20 18 19 17 2
20 19 17 4 0
20 16 19 5 13
20 18 19 17 13
20 16 18 19 13
17 14 2 4 8
17 6 14 2 4
17 12 14 4 8
17 10 14 2 8
17 2 4 8 0
19 17 12 4 8
19 17 4 8 0
19 17 2 8 0
19 17 10 2 8
19 17 12 13 8
19 17 9 13 8
19 1 4 8 0
19 13 1 4 8
19 5 13 1 4
19 9 13 1 8
19 12 13 4 8
18 17 10 14 2
18 17 6 14 2
18 11 14 15 2
18 7 14 15 2
18 7 11 15 2
18 3 7 11 2
18 10 11 14 2
18 6 7 14 2
16 18 3 7 2
16 18 6 7 2
16 19 3 1 2
16 19 1 2 0
16 18 3 7 11
16 18 7 11 15
16 19 5 13 1
16 19 9 13 1
16 19 3 11 1
16 19 9 11 1
16 11 13 15 1
16 9 11 13 1
16 7 13 15 1
16 5 7 13 1
16 7 11 15 1
16 3 7 11 1
21 17 10 14 8
21 17 12 14 8
21 16 11 13 15
21 16 9 11 13
21 18 10 11 14
21 18 11 14 15
21 19 3 1 2
21 19 1 2 0
21 19 10 2 8
21 19 2 8 0
21 19 9 1 8
21 19 1 8 0
21 17 13 14 15
21 17 12 13 14
21 17 9 13 8
21 17 12 13 8
21 19 3 11 1
21 19 9 11 1
21 18 3 11 2
21 18 10 11 2
21 10 11 14 8
21 11 14 15 8
21 13 14 15 8
21 12 13 14 8
21 11 13 15 8
21 9 11 13 8
21 11 1 2 8
21 9 11 1 8
21 10 11 2 8
21 1 2 8 0
21 3 11 1 2
20 19 1 4 0
20 19 5 1 4
20 18 7 14 15
20 18 6 7 14
20 17 2 4 0
20 17 6 2 4
20 16 5 7 1
20 16 3 7 1
20 17 6 14 4
20 17 12 14 4
20 16 5 7 13
20 16 7 13 15
20 16 6 7 2
20 16 3 7 2
20 16 1 2 0
20 16 3 1 2
20 19 5 13 4
20 19 12 13 4
20 17 12 13 14
20 17 13 14 15
20 6 7 14 4
20 7 13 15 4
20 7 14 15 4
20 13 14 15 4
20 5 7 13 4
20 12 13 14 4
20 1 2 4 0
20 7 1 2 4
20 3 7 1 2
20 5 7 1 4
20 6 7 2 4
