3 33 143
0 0 0
0 0 1
0 1 0
0 1 1
1 0 0
1 0 1
1 1 0
1 1 1
0.47229000473973914 0.52409012379756892 0.59377990701912842
0.29204832958848836 0.084306793043284145 0.027267176092928058
0.69447916915790686 0.35240789068778522 0.71950636287934933
0.7498246761381997 0.027055063380581057 0.26896740602371338
0.33572968146400872 0.39904498023756019 0.7018139177666779
0.69043959366420093 0.64196409720137682 0.016387167778996403
0.83703594791263991 0.61745668164054957 0.36507775707318135
0.48586340927682348 0.37709023862323565 0.36161587853069421
0.15596380887007377 0.96505343679350042 0.19069881499459529
0.14488424920571807 0.014546624910572903 0.24161393014440391
0.79578818832170195 0.33205358500103122 0.34786267605066135
0.10950197501923087 0.026543508422622986 0.38186696193354108
0.78668355142621682 0.16163135588619615 0.4332593391296794
0.78920818794779335 0.37367753200706189 0.9472365066243893
0.068215718566098427 0.47614722318749059 0.72410491810079247
0.74416696406966854 0.94728452759031512 0.18752306273846331
0.69356646954329582 0.13862649625891799 0.92534841892487696
0.088645369495557236 0.90805230808133797 0.12923312499471773
0.016218406257634488 0.1579573739586112 0.78031757159644277
0.045118005090828417 0.13045548275140106 0.31172096415838879
0.0080460142423087744 0.7339426506107336 0.127009888870525
0.74307922212411204 0.92058328017226099 0.60942209727109742
0.76220651855521449 0.079782065441208916 0.90556657827360554
0.76085527341344039 0.64853236575022499 0.64461313870377157
0.95141383227571186 0.4857372266138883 0.91481929967208597
23 29 6 7
31 29 3 7
31 29 8 3
16 23 29 8
16 29 8 3
16 22 8 3
16 23 6 7
16 23 6 2
16 29 3 7
16 23 29 7
14 23 29 6
14 29 6 7
14 31 29 7
14 23 29 8
14 31 29 8
32 14 31 7
32 14 6 4
32 14 6 7
30 24 5 1
12 22 8 3
25 16 3 2
13 14 6 4
13 14 23 6
13 9 4 0
13 9 2 0
13 23 6 2
13 16 23 2
13 25 16 2
21 32 5 7
21 24 5 1
21 30 24 5
21 30 32 5
21 12 24 1
21 31 3 7
21 32 31 7
21 22 3 1
21 12 22 1
21 12 22 3
21 31 8 3
21 12 8 3
19 30 24 1
19 17 1 0
20 32 5 4
20 30 32 5
20 19 30 24
20 19 12 24
28 9 2 0
28 13 9 2
28 13 25 2
28 25 3 2
28 16 22 3
28 25 16 3
28 13 25 16
28 16 22 8
26 12 24 1
26 19 24 1
26 19 12 24
26 12 22 1
26 28 1 0
26 28 3 1
26 22 3 1
26 28 22 3
11 20 5 4
11 20 30 5
11 17 5 4
11 20 19 30
11 17 5 1
11 19 17 1
11 30 5 1
11 19 30 1
11 17 4 0
11 9 4 0
11 17 9 0
11 13 9 4
18 32 14 4
18 20 32 4
18 11 20 4
18 32 14 31
18 13 14 4
18 11 13 4
18 14 31 8
15 28 13 9
15 28 16 8
15 28 13 16
15 18 14 8
15 18 13 14
15 11 13 9
15 18 11 13
15 11 17 9
15 18 11 20
15 16 23 8
15 13 16 23
15 20 19 12
15 11 19 17
15 11 20 19
15 12 22 8
15 28 22 8
15 14 23 8
15 13 14 23
27 19 1 0
27 26 1 0
27 26 19 1
27 26 28 0
27 19 17 0
27 26 28 22
27 17 9 0
27 28 9 0
27 15 19 17
27 15 28 22
27 26 12 22
27 26 19 12
27 15 17 9
27 15 28 9
27 15 12 22
27 15 19 12
10 18 32 31
10 18 20 32
10 21 32 31
10 18 31 8
10 21 31 8
10 21 30 32
10 20 30 32
10 15 18 8
10 15 18 20
10 21 30 24
10 20 30 24
10 15 12 8
10 15 20 12
10 21 12 8
10 21 12 24
10 20 12 24
17 5 1 4
17 1 4 0
16 3 7 2
16 6 7 2
32 5 7 4
32 6 7 4
13 2 4 0
13 6 2 4
21 3 7 1
21 5 7 1
28 1 2 0
28 3 1 2
