3 20 70
0 0 0
0 0 1
0 1 0
0 1 1
1 0 0
1 0 1
1 1 0
1 1 1
0.77036258301664495 0.1789104144335727 0.46075343593609563
0.92197148006431873 0.66406385824582359 0.18943041915436598
0.35626761414620134 0.11414363345189238 0.71634256610285041
0.67713050061349256 0.22598849073377181 0.24119558316357304
0.11182343319286259 0.47447921153716133 0.91560218468679977
0.45345647184958049 0.68054016396552464 0.72159792362684072
0.72797835045410653 0.9600173323262533 0.67215717524658614
0.30914613272171987 0.38810184414477977 0.93137700794550415
0.62789875334876655 0.31467635245496828 0.0051921549165948599
0.72686121805138593 0.57982803794588411 0.79622241736578281
0.45377291394906405 0.63411306992322714 0.93794516079826995
0.58525121017137804 0.66474029826595626 0.75070583151163039
14 13 3 2
16 13 2 0
12 13 2 0
12 13 3 2
9 16 6 4
9 14 6 7
9 14 6 2
9 16 6 2
9 14 13 2
9 16 13 2
8 9 5 4
18 12 13 3
18 14 3 7
18 14 13 3
11 16 4 0
11 8 4 0
11 16 13 0
11 9 16 4
11 8 9 4
11 9 16 13
17 9 5 7
17 8 9 5
17 18 5 7
17 9 14 7
15 12 3 1
15 18 3 1
15 18 12 3
15 18 5 1
15 18 12 13
15 17 18 5
10 11 8 0
10 8 5 4
10 8 4 0
10 15 5 1
10 12 1 0
10 15 12 1
10 11 8 13
10 17 8 5
10 15 17 5
10 12 13 0
10 11 13 0
10 15 12 13
19 18 14 7
19 17 14 7
19 17 18 7
19 18 14 13
19 9 14 13
19 17 9 14
19 15 18 13
19 15 17 18
19 11 9 13
19 10 15 13
19 10 15 17
19 11 8 13
19 11 8 9
19 17 8 9
19 10 8 13
19 10 17 8
14 3 7 2
14 6 7 2
16 6 2 4
16 2 4 0
12 3 1 2
12 1 2 0
9 5 7 4
9 6 7 4
18 5 7 1
18 3 7 1
10 5 1 4
10 1 4 0
