3 28 119
0 0 0
0 0 1
0 1 0
0 1 1
1 0 0
1 0 1
1 1 0
1 1 1
0.59104099344547889 0.2485216561126965 0.017591948772896049
0.24930739404486812 0.87189062669316286 0.68702773687237262
0.62425454462966901 0.066938857387360828 0.097993137610708048
0.16818371046143676 0.66506551489204713 0.30436579536862518
0.33290768479774846 0.0034931714625340282 0.51360361078330374
0.16689164792082523 0.338005223451742 0.84540755390536093
0.90976612785580357 0.58969606037673905 0.3653387246681129
0.98534002589869119 0.9624063617957026 0.42546013773264746
0.11809686725883084 0.87406065093685248 0.36498234285041642
0.005506618162686161 0.35581942605875994 0.52502634269101878
0.46591433710722574 0.69646579756471505 0.30367165272292618
0.17785065011603962 0.69556249420363103 0.67894631496460978
0.45925780273798378 0.038254503979387011 0.018175069734211124
0.20349266370265962 0.74457970061811107 0.021084931146198471
0.27637123476023573 0.0033317796939800193 0.86980333780291752
0.10152323337589353 0.79488628096719083 0.075551453078635089
0.28391011358963447 0.11279443416433332 0.39360458778374907
0.25905161761080719 0.11915211726281605 0.7553105824530697
0.91807258478364684 0.42850626701655403 0.011247707000114127
0.94431061917630943 0.42486389332301933 0.78673135042483078
21 18 6 2
9 13 3 7
23 21 2 0
16 18 6 2
16 21 18 2
16 23 21 2
16 9 3 2
15 9 3 7
15 9 3 2
15 16 6 2
15 16 9 2
15 14 18 6
15 14 9 18
15 16 18 6
15 16 9 18
26 14 18 6
26 21 18 6
26 15 6 4
26 15 14 4
26 15 14 6
26 21 6 2
19 24 13 18
19 9 13 3
19 16 9 3
17 19 24 13
17 16 3 2
17 19 16 3
17 23 2 0
17 16 23 2
17 13 3 1
17 19 13 3
17 19 24 18
27 15 5 4
27 15 14 4
27 15 5 7
27 13 5 7
27 24 14 18
27 15 9 7
27 15 14 9
27 19 13 18
27 9 13 7
27 19 9 13
27 14 9 18
27 19 9 18
11 16 9 18
11 19 9 18
11 19 16 9
11 17 19 18
11 17 19 16
11 17 16 23
11 16 21 18
11 16 23 21
11 17 24 18
11 23 21 0
11 17 23 0
11 17 24 0
11 20 21 0
11 20 24 0
12 27 24 14
12 20 4 0
12 20 24 0
12 17 1 0
12 17 24 0
8 26 4 0
8 20 4 0
8 20 21 0
8 26 2 0
8 21 2 0
8 26 21 2
8 26 21 18
8 26 14 18
8 11 21 18
8 11 20 21
8 24 14 18
8 11 24 18
8 11 20 24
10 12 5 4
10 27 5 4
10 12 27 5
10 27 14 4
10 12 20 4
10 8 20 4
10 12 27 14
10 26 14 4
10 8 26 4
10 8 26 14
10 12 20 24
10 8 20 24
10 12 24 14
10 8 24 14
25 12 27 24
25 24 13 18
25 27 13 18
25 27 24 18
25 17 24 13
25 12 17 24
25 12 27 5
25 17 13 1
25 12 17 1
22 12 5 1
22 25 12 1
22 25 12 5
22 13 5 1
22 25 13 1
22 27 13 5
22 25 27 5
22 25 27 13
13 5 7 1
13 3 7 1
15 6 7 2
15 3 7 2
15 5 7 4
15 6 7 4
26 6 2 4
26 2 4 0
17 3 1 2
17 1 2 0
12 5 1 4
12 1 4 0
