3 53 269
0 0 0
0 0 1
0 1 0
0 1 1
1 0 0
1 0 1
1 1 0
1 1 1
0.6339687786190128 0.14110148284717539 0.43015034639266192
0.70518783131994434 0.95022533523618713 0.72308995626538075
0.75382095700651042 0.95568920562736692 0.064868786627079733
0.49017025050121066 0.14623862991051051 0.38122967741493374
0.57035647129946987 0.82381500579831268 0.5724016086383259
0.31115645813370152 0.7540137792955951 0.53784172003933484
0.69797634055428293 0.76732655614822209 0.61689684690552138
0.16386666398003691 0.5567387745925898 0.21012902921069287
0.33713130904208199 0.064650989556073624 0.8636857962857778
0.82752325327549126 0.32601596095844099 0.30559320798460432
0.92022905003999744 0.63380369399131531 0.28466216199467742
0.63732893482142228 0.51612995981164544 0.74616605246045753
0.98155167394872556 0.71257218599553118 0.19133683595336981
0.1094371390495108 0.43398398891933765 0.49635639933181197
0.97822669038026822 0.91243169064929741 0.95820795290219007
0.43845261608335095 0.87247475968768018 0.12381112274862671
0.042139259197787049 0.25169098682892799 0.42228601568727486
0.23080722933770004 0.011150859382458966 0.41313976737581526
0.06272857593673542 0.70489670415819328 0.57743726843490295
0.017127208055625842 0.69907317649470779 0.43999942143031445
0.63057075596153334 0.44761563514476854 0.32813859562221315
0.79740173454381902 0.20978590023865118 0.67960768619578549
0.985017363612675 0.77022296439111715 0.087626818824612984
0.72562248854470901 0.22553060048213036 0.49201366273035096
0.11787535050815279 0.67563654276723861 0.73139343561641879
0.1628985863750374 0.95445022762075915 0.035604983155965053
0.92311313240773174 0.09281955265653985 0.48066423190011209
0.85332245603472034 0.14163869797546247 0.83985995323181972
0.038862748569036709 0.50069539841362831 0.92196400617081409
0.23876987970934094 0.43633839787217932 0.26693726564764264
0.99311440017605601 0.73023331102459765 0.18583074818446643
0.44124125246304102 0.51402098448107936 0.80504269007834095
0.25672307870015165 0.30608926842816608 0.1268744022759245
0.44784441122220908 0.77118688412053682 0.90502465654564368
0.73670629405042554 0.36205629768350367 0.12511267843965312
0.12124417231501317 0.47943176201457272 0.54323289210744385
0.39940387830593405 0.77356904757446721 0.1488345358473866
0.32822139522280636 0.754085776971952 0.34136098364893941
0.40769716073828921 0.28476811092275167 0.060928999261735561
0.77497636456656649 0.33963435023286848 0.54896134836941779
0.083080774807643754 0.79036751467786404 0.93927665543579109
0.96878774399164425 0.27342801147620022 0.27710059426713729
0.61782671112394871 0.39016941321589815 0.033608092452076965
0.75053241528233372 0.53248721169337876 0.50325782589308365
0.51500521812329914 0.91788976974587833 0.92123857896573202
24 25 1 0
16 25 5 1
16 24 36 1
16 24 25 1
27 24 1 0
27 36 3 1
27 24 36 1
41 16 5 1
41 16 36 1
34 25 5 4
34 49 5 4
34 16 25 5
42 17 49 4
30 42 49 4
30 50 6 4
30 42 50 4
39 41 16 36
39 41 16 5
13 39 41 12
15 27 2 0
15 27 24 0
48 41 3 1
48 36 3 1
48 41 36 1
48 39 41 36
10 9 6 2
10 30 50 6
52 41 3 7
52 9 3 7
52 13 9 3
52 48 41 3
52 48 13 3
52 48 13 41
52 9 41 12
52 13 41 12
52 13 9 12
47 34 17 49
11 25 4 0
38 30 6 4
38 10 9 6
38 10 30 6
38 49 5 4
38 30 49 4
21 16 24 36
21 11 39 16
21 27 24 36
21 16 24 25
21 11 24 25
21 11 16 25
21 15 27 24
26 27 3 2
26 48 13 3
26 27 36 3
26 48 36 3
33 9 3 2
33 13 9 3
33 26 3 2
33 26 13 3
33 13 9 12
33 26 27 2
33 26 13 27
33 10 9 2
33 15 27 2
33 50 6 2
33 10 6 2
33 10 50 6
35 39 16 5
35 34 16 5
35 34 49 5
35 39 41 5
19 13 39 28
19 13 39 12
19 11 39 28
19 39 41 12
19 35 39 16
19 52 9 41
19 35 39 41
8 34 25 4
8 11 25 4
8 34 16 25
8 11 16 25
8 17 49 4
8 34 49 4
8 34 17 49
8 42 17 4
8 11 42 4
8 35 34 16
8 42 17 28
8 11 42 28
8 11 39 16
37 11 24 25
37 21 15 24
37 21 11 24
22 9 6 7
22 38 6 7
22 38 9 6
22 52 9 7
22 19 52 9
22 35 47 49
22 38 5 7
22 38 49 5
22 52 41 7
22 19 52 41
22 19 35 41
22 35 49 5
22 41 5 7
22 35 41 5
43 39 16 36
43 21 16 36
43 21 39 16
43 21 27 36
43 26 27 36
43 26 13 27
43 13 39 28
43 21 15 27
43 11 39 28
43 21 11 39
43 37 13 28
43 37 21 15
43 37 11 28
43 37 21 11
32 26 48 13
32 13 39 41
32 48 39 41
32 48 13 41
32 43 13 39
32 43 26 13
32 48 39 36
32 26 48 36
32 43 39 36
32 43 26 36
23 10 9 12
23 33 9 12
23 33 10 9
23 33 13 12
23 33 10 50
46 50 2 0
46 33 50 2
46 50 4 0
46 11 4 0
46 11 25 0
46 37 50 28
46 37 11 28
46 42 50 4
46 11 42 4
46 42 50 28
46 11 42 28
31 47 34 17
31 8 34 17
31 47 17 28
31 8 17 28
31 8 11 28
31 19 47 28
31 19 11 28
31 19 11 39
31 8 11 39
31 8 39 16
51 22 19 47
