4 24 172
0 0 0 0
0 0 0 1
0 0 1 0
0 0 1 1
0 1 0 0
0 1 0 1
0 1 1 0
0 1 1 1
1 0 0 0
1 0 0 1
1 0 1 0
1 0 1 1
1 1 0 0
1 1 0 1
1 1 1 0
1 1 1 1
0.49683422666363874 0.69234230596820412 0.39324844115690494 0.48855314931375138
0.95608620079704154 0.44481557191547805 0.44594853276189439 0.088333556201583341
0.99199780763910239 0.21570990288879421 0.54752413604659456 0.37304001180219237
0.31393499880533893 0.99089643788264226 0.7328659155588676 0.63882882615692316
0.31650275057111166 0.58650022192857532 0.74609215834718312 0.32681107590943759
0.67377039634333458 0.093432077360641075 0.75437767951961443 0.8287562843777373
0.65456768535570875 0.17759379933919828 0.71279607814710733 0.97915352576250347
0.59005466099172843 0.3477308014047501 0.94669028196330673 0.77103545945044349
18 17 16 9 8
18 17 16 8 0
18 17 16 9 13
18 17 16 13 15
18 23 16 14 15
18 17 16 14 15
20 17 16 4 0
20 18 17 2 0
20 18 17 16 0
20 17 16 12 14
20 17 16 12 4
20 18 17 10 2
20 18 23 10 14
20 18 17 10 14
20 18 23 16 14
20 18 17 16 14
22 18 16 9 13
22 18 23 11 15
22 18 16 13 15
22 18 23 16 15
22 20 16 3 1
22 20 23 16 3
19 20 23 6 7
19 20 23 6 14
19 23 16 14 15
19 20 23 16 14
19 20 16 6 14
19 22 23 7 15
19 22 23 16 15
19 20 23 3 7
19 20 23 16 3
19 20 16 6 4
19 20 16 5 4
19 22 16 13 15
19 22 16 5 13
19 22 23 3 7
19 22 23 16 3
19 20 16 5 1
19 20 16 3 1
19 22 16 5 1
19 22 16 3 1
21 18 16 9 1
21 22 16 9 1
21 22 18 16 9
21 18 16 1 0
21 22 18 9 11
21 20 16 1 0
21 22 20 16 1
21 20 18 16 0
21 20 18 2 0
21 18 23 10 11
21 22 18 23 11
21 22 20 3 1
21 22 23 3 11
21 20 18 23 16
21 22 18 23 16
21 22 20 23 16
21 20 23 10 2
21 20 18 10 2
21 20 18 23 10
21 20 23 3 2
21 22 20 23 3
16 1 4 8 0
16 13 1 4 8
16 9 13 1 8
16 12 13 4 8
16 5 13 1 4
23 3 7 11 2
23 7 14 15 2
23 7 11 15 2
23 11 14 15 2
23 6 7 14 2
23 10 11 14 2
17 16 9 13 8
17 16 12 13 8
17 16 13 14 15
17 16 12 13 14
17 16 4 8 0
17 16 12 4 8
17 14 2 4 8
17 6 14 2 4
17 12 14 4 8
17 10 14 2 8
17 2 4 8 0
18 23 10 11 14
18 23 11 14 15
18 17 9 13 8
18 17 12 13 8
18 17 10 2 8
18 17 2 8 0
18 16 1 8 0
18 16 9 1 8
18 17 12 14 8
18 17 10 14 8
18 17 13 14 15
18 17 12 13 14
18 13 14 15 8
18 11 14 15 8
18 11 13 15 8
18 12 13 14 8
18 9 11 13 8
18 10 11 14 8
20 16 6 14 4
20 16 12 14 4
20 17 10 14 2
20 17 6 14 2
20 17 2 4 0
20 17 6 2 4
20 16 5 1 4
20 16 1 4 0
20 23 6 7 2
20 23 3 7 2
20 17 6 14 4
20 17 12 14 4
20 23 6 14 2
20 23 10 14 2
20 1 2 4 0
20 7 1 2 4
20 5 7 1 4
20 3 7 1 2
20 6 7 2 4
22 18 9 11 13
22 18 11 13 15
22 16 9 13 1
22 16 5 13 1
22 23 7 11 15
22 23 3 7 11
22 11 13 15 1
22 7 13 15 1
22 7 11 15 1
22 9 11 13 1
22 3 7 11 1
22 5 7 13 1
19 22 5 7 1
19 22 3 7 1
19 20 5 7 1
19 20 3 7 1
19 20 5 7 4
19 20 6 7 4
19 16 12 13 4
19 16 5 13 4
19 16 6 14 4
19 16 12 14 4
19 22 5 7 13
19 22 7 13 15
19 16 12 13 14
19 16 13 14 15
19 23 7 14 15
19 23 6 7 14
19 13 14 15 4
19 7 14 15 4
19 7 13 15 4
19 12 13 14 4
19 5 7 13 4
19 6 7 14 4
21 20 3 1 2
21 20 1 2 0
21 22 9 11 1
21 22 3 11 1
21 18 10 11 8
21 18 9 11 8
21 18 10 2 8
21 18 2 8 0
21 18 1 8 0
21 18 9 1 8
21 23 10 11 2
21 23 3 11 2
21 3 11 1 2
21 10 11 2 8
21 11 1 2 8
21 9 11 1 8
21 1 2 8 0
