4 20 102
0 0 0 0
0 0 0 1
0 0 1 0
0 0 1 1
0 1 0 0
0 1 0 1
0 1 1 0
0 1 1 1
1 0 0 0
1 0 0 1
1 0 1 0
1 0 1 1
1 1 0 0
1 1 0 1
1 1 1 0
1 1 1 1
0.21963643378117581 0.37460275536960885 0.61899075751288024 0.95438244467069888
0.70204868328070802 0.80928045741804533 0.38803607397456796 0.47835880960604871
0.5806331385345973 0.10073780878516636 0.91653935181106261 0.37691767308518676
0.082962799959900524 0.11882138606554282 0.65140732835219695 0.65149001399317275
16 18 17 11 15
16 18 17 7 15
16 18 17 9 11
16 18 17 6 7
19 16 18 6 7
19 16 18 3 7
19 18 17 6 2
19 16 18 17 6
19 16 17 6 4
19 16 17 5 4
19 16 17 5 1
19 18 17 2 0
19 16 18 3 11
19 16 18 9 11
19 16 17 9 1
19 18 17 8 0
19 18 17 9 8
19 16 18 17 9
17 12 13 14 4
17 7 13 15 4
17 13 14 15 4
17 5 7 13 4
17 7 14 15 4
17 6 7 14 4
17 1 4 8 0
17 13 1 4 8
17 5 13 1 4
17 9 13 1 8
17 12 13 4 8
17 13 14 15 8
17 10 11 14 8
17 11 13 15 8
17 9 11 13 8
17 11 14 15 8
17 12 13 14 8
17 6 14 2 4
17 10 14 2 8
17 14 2 4 8
17 12 14 4 8
17 2 4 8 0
18 17 10 2 8
18 17 2 8 0
18 17 11 14 15
18 17 10 11 14
18 17 6 14 2
18 17 10 14 2
18 17 7 14 15
18 17 6 7 14
18 17 9 11 8
18 17 10 11 8
18 6 7 14 2
18 11 14 15 2
18 7 14 15 2
18 10 11 14 2
18 7 11 15 2
18 3 7 11 2
18 9 11 1 8
18 11 1 2 8
18 3 11 1 2
18 1 2 8 0
18 10 11 2 8
16 17 11 13 15
16 17 9 11 13
16 17 9 13 1
16 17 5 13 1
16 18 7 11 15
16 18 3 7 11
16 17 5 7 4
16 17 6 7 4
16 17 5 7 13
16 17 7 13 15
16 7 13 15 1
16 5 7 13 1
16 11 13 15 1
16 9 11 13 1
16 7 11 15 1
16 3 7 11 1
19 16 9 11 1
19 16 3 11 1
19 18 3 11 1
19 18 9 11 1
19 18 1 8 0
19 18 9 1 8
19 17 1 4 0
19 17 5 1 4
19 17 9 1 8
19 17 1 8 0
19 17 2 4 0
19 17 6 2 4
19 18 3 1 2
19 18 1 2 0
19 16 6 7 4
19 16 5 7 4
19 16 5 7 1
19 16 3 7 1
19 18 3 7 2
19 18 6 7 2
19 7 1 2 4
19 6 7 2 4
19 3 7 1 2
19 5 7 1 4
19 1 2 4 0
