3 40 176
0 0 0
0 0 1
0 1 0
0 1 1
1 0 0
1 0 1
1 1 0
1 1 1
0.85272880467087309 0.90462224108271949 0.41885200819161994
0.89341339562366828 0.13969746807839101 0.31309528415886401
0.26632502973271199 0.03379760910676799 0.89232969856871924
0.61895375872249436 0.24530376469233728 0.037769073492751715
0.2107949134921514 0.5188764208722737 0.19990489334693384
0.51969870972179388 0.28977897786838802 0.46144067714150616
0.61830602018251091 0.25819093222230693 0.90056106773767075
0.97428803899504601 0.75729789946386117 0.7468364533671914
0.39478357982288903 0.14361033631651665 0.11449574143411778
0.65836754884541859 0.89418302145544071 0.83534572331116186
0.83488815807535377 0.085385919547697808 0.0071045852344053806
0.70238150729806947 0.63373884245960255 0.037634417856229896
0.6396399383738931 0.86440376644518147 0.17440567675333041
0.71864759161992564 0.80930526215520415 0.059573137500325002
0.49288775583123412 0.053198206885824662 0.07938103455589629
0.56060682735358525 0.24477867052916802 0.34630834269821553
0.35365317285039266 0.98787409049543551 0.15430755570281784
0.54209002422401587 0.042174370527235827 0.15369531320339214
0.55556062027963515 0.9478496310964466 0.29762145501052861
0.95325054739854687 0.030544739086125872 0.29687473047231649
0.37222498405044668 0.008354461264954427 0.67212294219484658
0.38026468368026933 0.11545423445255143 0.75681512461798339
0.63252113065859994 0.78129844730461628 0.64142220409258188
0.043330636168879666 0.70815879483476862 0.14216800247501138
0.46077329467502637 0.21311336430711247 0.79589486374363105
0.77862339396210889 0.45182828554843557 0.68836682734267729
0.59858248985836648 0.27879368166147211 0.4596664278311301
0.88493250655656219 0.83656340371565163 0.70401800951102833
0.13956366313921997 0.40752908424360745 0.79812886677992356
0.90538713992225484 0.6987390579400079 0.46969967205957674
0.59520344886440057 0.4037293465385835 0.32494022773907549
0.66808100839111439 0.66296051146700197 0.0023471283556629752
36 14 3 1
31 36 1 0
31 36 3 1
37 9 6 4
8 26 6 7
33 9 14 5
27 37 9 4
39 31 2 0
10 14 5 1
10 36 14 1
32 29 36 13
32 10 36 14
32 10 29 14
32 10 29 36
15 8 6 7
15 8 37 6
15 27 5 4
15 37 6 4
15 27 37 4
15 27 9 5
15 27 37 9
15 14 5 7
15 33 14 5
15 33 9 5
15 33 37 9
17 14 3 7
17 15 14 7
17 15 33 14
17 36 14 3
17 26 3 7
17 8 26 7
34 33 9 14
34 32 33 13
34 32 33 14
19 39 6 4
19 9 6 4
19 37 9 6
12 39 31 0
12 31 36 0
24 26 6 7
24 26 3 7
24 39 31 2
24 31 3 2
24 12 31 26
24 12 39 31
35 15 8 7
35 17 8 7
35 17 15 7
35 15 8 37
35 15 33 37
35 17 15 33
28 34 23 13
28 34 23 9
28 32 29 13
28 34 32 13
28 34 9 14
28 32 29 14
28 34 32 14
28 10 29 36
28 9 14 5
28 27 9 5
28 10 14 5
28 10 29 14
28 12 36 0
28 29 36 13
28 12 36 13
28 36 1 0
28 10 36 1
28 10 5 1
28 27 5 4
21 39 6 2
21 24 6 2
21 24 39 2
21 19 39 6
21 8 37 6
21 19 37 6
30 35 8 37
30 35 17 8
30 17 8 26
30 35 33 37
30 35 17 33
30 12 36 13
30 17 26 3
30 17 36 3
30 32 36 13
30 32 33 13
30 17 36 14
30 17 33 14
30 12 31 26
30 12 31 36
30 31 36 3
30 32 36 14
30 32 33 14
30 24 26 3
30 24 31 3
30 24 31 26
38 34 23 9
38 19 37 9
38 34 23 13
38 12 23 13
38 33 37 9
38 34 33 9
38 30 33 37
38 34 33 13
38 30 33 13
38 30 12 13
38 30 12 26
11 38 19 39
11 12 39 0
11 38 19 9
11 38 12 39
11 38 23 9
20 21 24 39
20 24 12 26
20 24 12 39
20 21 19 39
20 24 26 6
20 21 24 6
20 38 12 26
20 38 12 39
20 38 19 39
20 21 19 37
20 8 26 6
20 21 8 6
20 38 19 37
20 21 8 37
20 38 30 26
20 38 30 37
20 30 8 26
20 30 8 37
18 19 39 4
18 11 19 39
18 39 4 0
18 11 39 0
18 19 9 4
18 11 19 9
18 22 4 0
18 11 22 0
18 27 9 4
16 11 12 0
16 11 22 0
16 12 23 13
16 38 12 23
16 11 38 23
16 11 38 12
16 28 23 13
16 28 12 0
16 28 12 13
25 11 23 9
25 18 11 9
25 18 11 22
25 16 11 23
25 16 11 22
25 28 23 9
25 28 27 9
25 18 27 9
25 16 28 23
25 18 27 4
25 18 22 4
25 28 27 4
25 16 28 0
25 16 22 0
25 28 4 0
25 22 4 0
14 5 7 1
14 3 7 1
31 3 1 2
31 1 2 0
39 2 4 0
39 6 2 4
15 5 7 4
15 6 7 4
24 3 7 2
24 6 7 2
28 5 1 4
28 1 4 0
