3 60 310
0 0 0
0 0 1
0 1 0
0 1 1
1 0 0
1 0 1
1 1 0
1 1 1
0.029308980712796306 0.14266804976126068 0.69039840040437539
0.51271833031854963 0.66845531140630543 0.46344484014042742
0.51868724088190621 0.62715683931980015 0.90990815198416319
0.74420842479014682 0.69832355940317914 0.83085017948875273
0.98127568541188748 0.60697598072649139 0.19580924965806068
0.02621120590453796 0.70626313803359786 0.11051526435069303
0.64961944782677672 0.29129379882890216 0.97788289992179889
0.13886341687407533 0.97404616703521685 0.9801580239638843
0.6650771216221727 0.96164649671543534 0.71950934744127881
0.070014333223789471 0.14323279243062415 0.40805033975875293
0.24250753279332238 0.33027206077258131 0.2851678190967929
0.46620694723581135 0.73305104817213185 0.40962527343775601
0.012272121245826328 0.134702149251966 0.79955205455756051
0.074342904390913955 0.25492158294242684 0.31156041266790091
0.92748008475978116 0.59970107773042169 0.73456838067754959
0.77513244105513479 0.21402220092622581 0.88990690951957563
0.7818537843784068 0.95208309158720461 0.10898782143017649
0.55477809294321268 0.089327363938992432 0.63397651979224345
0.87113250031071165 0.59956914434287023 0.74752355144237681
0.062685804442678239 0.54027151951549712 0.71734022235416839
0.35909328058245193 0.19978139812487117 0.36799522818681729
0.1878454438723004 0.039361353634334462 0.29174450413357067
0.41275523811947501 0.049899386334135931 0.074562164512067985
0.39832945941705 0.72884855046550834 0.57076431537480576
0.37088567344205459 0.57272503204322411 0.55224083879291541
0.75982753415318494 0.010343229427245748 0.38883620547199582
0.79961473309129738 0.84334801078897326 0.7619443360457463
0.37973879435698044 0.98203631674814762 0.63850210752446734
0.5404286268795564 0.93520722175663429 0.5634061204799522
0.0067272029463767424 0.50819557971951568 0.29790263789933424
0.081984001495465808 0.56023652117418876 0.53100766570943725
0.81892995605953023 0.22445642578055303 0.97359414857865445
0.18730320504652542 0.096971506972245103 0.34114464857851701
0.36059952428857323 0.36334874501345849 0.93485454600271134
0.4059096230396122 0.75015990962007828 0.42504971871982278
0.63061377186582945 0.75494292637329896 0.5546531442000644
0.67879434532163752 0.96627409688573684 0.55294973518733925
0.071167617856961796 0.51600990365610555 0.31721882425183345
0.46118423858187751 0.61992656302346449 0.99102377765208827
0.3646922528555373 0.85821140511488414 0.8035783946463031
0.14837822660779132 0.56203507180650181 0.89296127993047059
0.54296447268707604 0.19797165885641443 0.16010821729858515
0.69670823239197266 0.59341246620296917 0.27264748749196832
0.70339590309359423 0.63709509817765075 0.51893263354645158
0.027445484330197778 0.59518347758829349 0.22604779827618116
0.93421854990937137 0.59340864706385277 0.95610433593654776
0.32127018211704494 0.092192201594048173 0.33559272312842725
0.61548089875413736 0.11147218914886847 0.13335936620335898
0.18652510398623756 0.38070189327755188 0.52412080872962463
0.74917085374601255 0.87858029616553479 0.71901708557720756
0.26874877962640153 0.71513361577022694 0.069036233157094173
0.99907393706943126 0.12541957235826506 0.085388212828185983
35 38 3 2
22 12 5 7
13 35 38 2
14 46 5 1
14 46 5 7
48 46 3 1
15 46 3 7
15 35 3 7
15 48 46 3
15 35 38 3
24 35 6 2
52 38 3 2
52 13 38 2
53 22 5 7
53 14 46 7
53 10 14 46
8 29 1 0
41 14 46 1
41 48 46 1
41 10 14 46
41 10 48 46
41 10 14 32
41 10 48 32
34 12 6 7
34 22 12 7
34 53 22 7
47 15 46 7
47 15 48 46
47 10 48 46
47 10 48 32
42 13 35 2
42 13 35 38
42 52 13 38
44 35 6 7
44 24 35 6
44 34 6 7
44 34 57 7
44 24 12 6
44 34 12 6
45 42 38 32
45 42 52 38
33 23 22 5
33 30 29 54
33 29 1 0
33 30 4 0
33 30 29 0
26 53 23 22
26 53 23 14
26 34 53 22
26 33 23 22
39 23 22 5
39 53 22 5
39 53 23 22
39 23 14 5
39 53 23 14
39 14 5 7
39 53 5 7
39 53 14 7
58 13 2 0
58 30 4 0
58 24 6 2
58 42 52 13
58 42 13 2
58 42 24 2
58 24 12 6
58 45 42 52
27 48 3 1
27 15 38 3
27 15 48 3
27 47 15 48
27 41 48 32
27 15 35 38
27 47 35 38
27 47 15 35
20 41 48 1
20 27 48 1
20 27 41 48
20 27 41 8
20 27 3 1
20 8 1 0
11 34 53 7
11 53 46 7
11 53 10 46
11 26 34 53
11 53 10 14
11 26 10 14
11 26 53 14
36 24 35 2
36 42 35 2
36 42 24 2
36 44 24 35
31 47 35 38
31 42 35 38
31 42 38 32
31 36 47 35
31 36 42 35
31 27 38 32
31 27 47 38
31 47 48 32
31 27 48 32
31 27 47 48
31 47 10 32
16 44 35 7
16 44 57 7
16 36 44 35
16 15 35 7
16 47 15 7
16 47 15 35
16 34 57 7
16 36 47 35
16 47 46 7
16 11 34 57
16 11 46 7
16 11 34 7
16 47 10 46
16 11 10 46
16 11 47 10
43 31 10 32
43 11 34 57
43 16 44 57
43 16 36 44
43 11 47 10
43 31 47 10
43 31 36 47
43 16 36 47
43 16 11 57
43 16 11 47
17 8 29 0
37 45 52 38
37 27 8 38
37 17 8 38
37 52 38 3
37 27 38 3
37 20 27 8
37 17 8 0
37 20 27 3
37 20 8 0
37 52 3 2
37 20 1 0
37 20 3 1
37 13 2 0
37 52 13 0
37 52 13 2
55 33 30 54
55 33 30 4
55 58 30 4
19 58 42 24
19 43 44 24
19 36 42 24
19 36 44 24
19 43 36 44
19 31 36 42
19 43 31 36
18 58 45 52
18 30 29 54
18 30 28 54
18 30 29 0
18 58 45 42
18 19 58 42
18 58 30 0
18 45 42 32
18 19 42 32
18 37 45 52
18 52 13 0
18 58 13 0
18 58 52 13
25 20 41 8
25 20 8 1
25 8 28 54
25 41 14 32
25 41 14 1
25 20 41 1
25 8 29 1
25 8 29 54
25 33 28 54
25 14 5 1
25 23 14 5
25 33 29 1
25 33 29 54
25 33 5 1
25 33 23 5
51 43 10 32
