3 15 46
0 0 0
0 0 1
0 1 0
0 1 1
1 0 0
1 0 1
1 1 0
1 1 1
0.5167862632335426 0.7336609731047502 0.91610198108444285
0.95793298779593694 0.89047531876128316 0.76979747878848503
0.50003341409626534 0.74502728650005612 0.35638262500569573
0.40267178395778314 0.4295054544381961 0.27557421529559833
0.63943595553866972 0.031891688719250633 0.023945361194890546
0.29206363345245856 0.95373247203270106 0.72260661347490207
0.23972072849382864 0.96543536188063128 0.72462952360278876
12 11 6 4
12 11 2 0
12 11 6 2
12 11 5 1
12 11 5 4
12 11 1 0
14 11 2 0
14 11 1 0
14 13 3 7
14 13 6 7
14 13 6 2
8 11 5 1
8 13 3 7
8 14 11 1
8 14 13 11
8 14 3 1
8 14 13 3
9 8 5 7
9 8 11 5
9 11 5 4
9 13 6 7
9 8 13 7
10 9 6 4
10 11 6 4
10 9 11 4
10 9 13 6
10 11 6 2
10 13 6 2
10 8 13 11
10 9 8 11
10 9 8 13
10 14 11 2
10 14 13 2
10 14 13 11
12 1 4 0
12 5 1 4
12 2 4 0
12 6 2 4
14 6 7 2
14 3 7 2
14 1 2 0
14 3 1 2
8 5 7 1
8 3 7 1
9 6 7 4
9 5 7 4
