4 18 68
0 0 0 0
0 0 0 1
0 0 1 0
0 0 1 1
0 1 0 0
0 1 0 1
0 1 1 0
0 1 1 1
1 0 0 0
1 0 0 1
1 0 1 0
1 0 1 1
1 1 0 0
1 1 0 1
1 1 1 0
1 1 1 1
0.097152619453987454 0.40549446443703485 0.44055392389857706 0.2345262746451896
0.8608547470955813 0.96259353298341976 0.44433892522599427 0.43646008503326095
16 1 4 8 0
16 13 1 4 8
16 5 13 1 4
16 12 13 4 8
16 9 13 1 8
16 11 1 2 8
16 9 11 1 8
16 1 2 8 0
16 10 11 2 8
16 3 11 1 2
16 7 1 2 4
16 3 7 1 2
16 1 2 4 0
16 6 7 2 4
16 5 7 1 4
16 12 14 4 8
16 14 2 4 8
16 6 14 2 4
16 2 4 8 0
16 10 14 2 8
16 3 7 11 2
16 11 14 15 2
16 7 11 15 2
16 10 11 14 2
16 7 14 15 2
16 6 7 14 2
17 16 12 14 8
17 16 10 14 8
17 16 11 14 15
17 16 10 11 14
17 16 7 11 15
17 16 3 7 11
17 16 5 7 1
17 16 3 7 1
17 16 9 11 1
17 16 3 11 1
17 16 5 13 1
17 16 9 13 1
17 16 6 7 4
17 16 5 7 4
17 16 5 13 4
17 16 12 13 4
17 16 7 14 15
17 16 6 7 14
17 16 10 11 8
17 16 9 11 8
17 16 12 13 8
17 16 9 13 8
17 16 12 14 4
17 16 6 14 4
17 10 11 14 8
17 11 13 15 8
17 11 14 15 8
17 13 14 15 8
17 9 11 13 8
17 12 13 14 8
17 13 14 15 4
17 7 14 15 4
17 5 7 13 4
17 12 13 14 4
17 6 7 14 4
17 7 13 15 4
17 11 13 15 1
17 9 11 13 1
17 7 11 15 1
17 7 13 15 1
17 5 7 13 1
17 3 7 11 1
