d,inst,T,V,D,H,B,ncolor,nbiclique,dlogrows,dlogcols,dlogbins,incrows,inccols,incbins,mcrows,mccols,mcbins,dccrows,dcccols,dccbins,ccrows,cccols,ccbins,gibrows,gibcols,gibbins
4,d4v18,68,18,62,30,43860,25,6,20,354,14,137,339,67,360,340,68,74,408,68,25,86,68,35,49,31
4,d4v18r,304,46,721,0,0,0,18,24,1538,18,609,1519,303,1568,1520,304,310,1824,304,53,350,304,87,64,18
4,d4v20,102,20,76,41,197539,30,12,20,524,14,205,509,101,532,510,102,108,612,102,27,122,102,49,62,42
4,d4v20r,444,57,1173,0,0,0,20,24,2238,18,889,2219,443,2279,2220,444,450,2664,444,64,501,444,102,77,20
4,d4v22,142,22,91,55,,,,22,726,16,285,709,141,734,710,142,148,852,142,29,164,142,,,
4,d4v22r,671,74,2115,0,0,0,24,26,3375,20,1343,3354,670,3431,3355,671,677,4026,671,81,745,671,127,98,24
4,d4v24,172,24,115,57,,,,22,876,16,345,859,171,886,860,172,178,1032,172,31,196,172,,,
4,d4v24r,498,62,1432,0,0,0,23,24,2508,18,997,2489,497,2554,2490,498,504,2988,498,69,560,498,113,85,23
